,Datetime,Region,Technology,Tech category,Value
326,2036,reg1,Electricity_imports,Supply,0.0
327,2037,reg1,Electricity_imports,Supply,0.0
328,2038,reg1,Electricity_imports,Supply,0.0
329,2039,reg1,Electricity_imports,Supply,0.0
330,2040,reg1,Electricity_imports,Supply,0.0
331,2041,reg1,Electricity_imports,Supply,0.0
332,2042,reg1,Electricity_imports,Supply,0.0
333,2043,reg1,Electricity_imports,Supply,0.0
334,2044,reg1,Electricity_imports,Supply,0.0
335,2045,reg1,Electricity_imports,Supply,0.0
336,2046,reg1,Electricity_imports,Supply,0.0
337,2047,reg1,Electricity_imports,Supply,0.0
338,2048,reg1,Electricity_imports,Supply,0.0
339,2049,reg1,Electricity_imports,Supply,0.0
340,2050,reg1,Electricity_imports,Supply,0.0
341,2020,reg1,Pump_hydro_ST,Storage,0.0
342,2021,reg1,Pump_hydro_ST,Storage,0.6384909090909092
343,2022,reg1,Pump_hydro_ST,Storage,0.6384909090909092
344,2023,reg1,Pump_hydro_ST,Storage,0.6384909090909092
345,2024,reg1,Pump_hydro_ST,Storage,0.6384909090909092
346,2025,reg1,Pump_hydro_ST,Storage,0.6384909090909083
347,2026,reg1,Pump_hydro_ST,Storage,0.6384909090909092
348,2027,reg1,Pump_hydro_ST,Storage,0.6384909090909092
349,2028,reg1,Pump_hydro_ST,Storage,0.6384909090909092
350,2029,reg1,Pump_hydro_ST,Storage,0.6384909090909092
351,2030,reg1,Pump_hydro_ST,Storage,0.6384909090909074
352,2031,reg1,Pump_hydro_ST,Storage,0.20045454545454522
353,2032,reg1,Pump_hydro_ST,Storage,0.20045454545454522
354,2033,reg1,Pump_hydro_ST,Storage,0.20045454545454522
355,2034,reg1,Pump_hydro_ST,Storage,0.20045454545454522
356,2035,reg1,Pump_hydro_ST,Storage,0.20045454545454522
357,2036,reg1,Pump_hydro_ST,Storage,0.20045454545454522
358,2037,reg1,Pump_hydro_ST,Storage,0.20045454545454522
359,2038,reg1,Pump_hydro_ST,Storage,0.20045454545454522
360,2039,reg1,Pump_hydro_ST,Storage,0.20045454545454522
361,2040,reg1,Pump_hydro_ST,Storage,0.20045454545454433
362,2041,reg1,Pump_hydro_ST,Storage,0.2004545454545461
363,2042,reg1,Pump_hydro_ST,Storage,0.200454545454547
364,2043,reg1,Pump_hydro_ST,Storage,0.20045454545454433
365,2044,reg1,Pump_hydro_ST,Storage,0.20045454545454433
366,2045,reg1,Pump_hydro_ST,Storage,0.20045454545454877
367,2046,reg1,Pump_hydro_ST,Storage,0.20045454545454433
368,2047,reg1,Pump_hydro_ST,Storage,0.20045454545454433
369,2048,reg1,Pump_hydro_ST,Storage,0.20045454545454877
370,2049,reg1,Pump_hydro_ST,Storage,0.20045454545454433
371,2050,reg1,Pump_hydro_ST,Storage,0.20045454545454788
372,2020,reg1,Electrochemical_ST,Storage,0.0
373,2021,reg1,Electrochemical_ST,Storage,0.607
374,2022,reg1,Electrochemical_ST,Storage,0.607
375,2023,reg1,Electrochemical_ST,Storage,0.607
376,2024,reg1,Electrochemical_ST,Storage,0.607
377,2025,reg1,Electrochemical_ST,Storage,0.607
378,2026,reg1,Electrochemical_ST,Storage,0.8999999999999999
379,2027,reg1,Electrochemical_ST,Storage,0.8999999999999992
380,2028,reg1,Electrochemical_ST,Storage,0.9000000000000001
381,2029,reg1,Electrochemical_ST,Storage,0.9000000000000004
382,2030,reg1,Electrochemical_ST,Storage,0.8999999999999997
383,2031,reg1,Electrochemical_ST,Storage,0.6069999999999991
384,2032,reg1,Electrochemical_ST,Storage,0.6070000000000011
385,2033,reg1,Electrochemical_ST,Storage,0.6069999999999993
386,2034,reg1,Electrochemical_ST,Storage,0.6070000000000013
387,2035,reg1,Electrochemical_ST,Storage,0.6069999999999991
388,2036,reg1,Electrochemical_ST,Storage,0.9000000000000004
389,2037,reg1,Electrochemical_ST,Storage,0.8999999999999997
390,2038,reg1,Electrochemical_ST,Storage,0.9000000000000001
391,2039,reg1,Electrochemical_ST,Storage,0.9000000000000004
392,2040,reg1,Electrochemical_ST,Storage,0.8999999999999997
393,2041,reg1,Electrochemical_ST,Storage,0.6069999999999991
