,Scenario,Datetime,Region,Technology,Emission,Value
338,scenario1,2052,reg1,Geo_PP,CO2,2417210.4000000013
339,scenario1,2053,reg1,Geo_PP,CO2,2417210.4000000004
340,scenario1,2054,reg1,Geo_PP,CO2,2417210.400000001
341,scenario1,2055,reg1,Geo_PP,CO2,2417210.400000001
342,scenario1,2056,reg1,Geo_PP,CO2,2417210.400000001
343,scenario1,2057,reg1,Geo_PP,CO2,2417210.400000001
344,scenario1,2058,reg1,Geo_PP,CO2,2417210.400000001
345,scenario1,2059,reg1,Geo_PP,CO2,2417210.400000001
346,scenario1,2060,reg1,Geo_PP,CO2,2417210.4000000004
347,scenario1,2061,reg1,Geo_PP,CO2,2417210.4000000004
348,scenario1,2062,reg1,Geo_PP,CO2,2417210.400000001
349,scenario1,2063,reg1,Geo_PP,CO2,2417210.400000001
350,scenario1,2064,reg1,Geo_PP,CO2,2417210.4000000004
351,scenario1,2065,reg1,Geo_PP,CO2,2417210.400000001
352,scenario1,2066,reg1,Geo_PP,CO2,2417210.4000000004
353,scenario1,2067,reg1,Geo_PP,CO2,2417210.4000000004
354,scenario1,2068,reg1,Geo_PP,CO2,2417210.400000001
355,scenario1,2069,reg1,Geo_PP,CO2,2417210.400000001
356,scenario1,2070,reg1,Geo_PP,CO2,2417210.400000001
357,scenario1,2020,reg1,Solar_PV_PP,CO2,0.0
358,scenario1,2021,reg1,Solar_PV_PP,CO2,0.0
359,scenario1,2022,reg1,Solar_PV_PP,CO2,0.0
360,scenario1,2023,reg1,Solar_PV_PP,CO2,0.0
361,scenario1,2024,reg1,Solar_PV_PP,CO2,0.0
362,scenario1,2025,reg1,Solar_PV_PP,CO2,0.0
363,scenario1,2026,reg1,Solar_PV_PP,CO2,0.0
364,scenario1,2027,reg1,Solar_PV_PP,CO2,0.0
365,scenario1,2028,reg1,Solar_PV_PP,CO2,0.0
366,scenario1,2029,reg1,Solar_PV_PP,CO2,0.0
367,scenario1,2030,reg1,Solar_PV_PP,CO2,0.0
368,scenario1,2031,reg1,Solar_PV_PP,CO2,0.0
369,scenario1,2032,reg1,Solar_PV_PP,CO2,0.0
370,scenario1,2033,reg1,Solar_PV_PP,CO2,0.0
371,scenario1,2034,reg1,Solar_PV_PP,CO2,0.0
372,scenario1,2035,reg1,Solar_PV_PP,CO2,0.0
373,scenario1,2036,reg1,Solar_PV_PP,CO2,0.0
374,scenario1,2037,reg1,Solar_PV_PP,CO2,0.0
375,scenario1,2038,reg1,Solar_PV_PP,CO2,0.0
376,scenario1,2039,reg1,Solar_PV_PP,CO2,0.0
377,scenario1,2040,reg1,Solar_PV_PP,CO2,0.0
378,scenario1,2041,reg1,Solar_PV_PP,CO2,0.0
379,scenario1,2042,reg1,Solar_PV_PP,CO2,0.0
380,scenario1,2043,reg1,Solar_PV_PP,CO2,0.0
381,scenario1,2044,reg1,Solar_PV_PP,CO2,0.0
382,scenario1,2045,reg1,Solar_PV_PP,CO2,0.0
383,scenario1,2046,reg1,Solar_PV_PP,CO2,0.0
