Scenario,Year,Actualized emission
scenario12,Y25,138443566.60561743
scenario12,Y26,131193089.64979488
scenario12,Y27,124322629.32869564
scenario12,Y28,117799807.02262352
scenario12,Y29,111615809.34234166
scenario12,Y30,105751610.03154448
scenario12,Y31,100717105.18923078
scenario12,Y32,95921052.56117216
scenario12,Y33,91353383.39159252
scenario12,Y34,87114242.53329588
scenario12,Y35,82794244.2643573
scenario12,Y36,78914487.32671851
scenario12,Y37,75156654.59687476
scenario12,Y38,71577766.28273787
scenario12,Y39,68169301.22165512
scenario12,Y40,64923144.02062392
scenario12,Y41,61831565.73392753
scenario12,Y42,58887205.46088336
scenario12,Y43,56083052.81988891
scenario12,Y44,53412431.25703706
scenario12,Y45,50972750.6059465
scenario12,Y46,48399673.97861122
scenario12,Y47,45834113.487755805
scenario12,Y48,43558821.68317997
scenario12,Y49,41472465.634982176
scenario12,Y50,39486388.205181845
scenario13,Y0,1011301713.5593356
scenario13,Y1,919397195.8438544
scenario13,Y2,888148551.3657544
scenario13,Y3,749519679.0655049
scenario13,Y4,718152315.2590512
scenario13,Y5,687854766.1244501
scenario13,Y6,635778964.6758837
scenario13,Y7,586938861.3104508
scenario13,Y8,542685714.5800278
scenario13,Y9,501265039.8190777
scenario13,Y10,462445380.3120671
scenario13,Y11,431237704.2695991
scenario13,Y12,402782968.8847983
scenario13,Y13,375396803.159164
scenario13,Y14,350755877.1177262
scenario13,Y15,328130141.8568892
scenario13,Y16,302809724.17492515
scenario13,Y17,278867747.1817855
scenario13,Y18,256547126.0208088
scenario13,Y19,235720728.2242648
scenario13,Y20,216308419.1938837
scenario13,Y21,198168788.92890224
scenario13,Y22,181410073.52305725
scenario13,Y23,165971905.14475223
scenario13,Y24,151485479.4169706
scenario13,Y25,138439771.86016166
scenario13,Y26,131193072.91691811
scenario13,Y27,124322613.39262256
scenario13,Y28,117799791.84541105
scenario13,Y29,111615802.11509764
scenario13,Y30,105751610.03154448
scenario13,Y31,100717105.18923075
scenario13,Y32,95921052.56117216
scenario13,Y33,91353383.39159252
scenario13,Y34,87114242.5332959
scenario13,Y35,82794244.2643573
scenario13,Y36,78914487.32671851
scenario13,Y37,75156654.59687477
scenario13,Y38,71577766.28273787
scenario13,Y39,68169301.22165512
scenario13,Y40,64923144.02062391
scenario13,Y41,61831565.73392753
scenario13,Y42,58887205.46088337
scenario13,Y43,56083052.81988891
scenario13,Y44,53412431.25703706
scenario13,Y45,50972750.6059465
scenario13,Y46,48399642.265717536
scenario13,Y47,45834083.28499992
scenario13,Y48,43558792.91865054
scenario13,Y49,41472438.24019226
scenario13,Y50,39486046.9553041
